 2074309 | 16Bm07 Jan 27 03:03:44 17 | 17AP30 Nr0051_1  | 10:44:00.0  30:00:00 2000 | 300 | r | 1.02 | 0.50 0.53   687 |     OG1 |   OB151 |P 1 V Q R|
 2159948 | 17Am07 Jul 23 01:40:16 17 | 17AP99 Sr0202_3  | 23:06:07.2  32:36:25 2000 | 214 | r | 1.12 | 0.87 0.88   660 |    OG63 | OB20605 |P 1 V Q R|
 2159949 | 17Am07 Jul 23 01:42:42 17 | 17AP99 Sr0203_3  | 23:10:43.2  32:36:25 2000 | 100 | r | 1.12 | 0.79 0.82   305 |    OG63 | OB20608 |P 1 V Q R|
 2159950 | 17Am07 Jul 23 01:46:30 17 | 17AP99 Sr0204_3  | 23:15:19.2  32:36:25 2000 | 183 | r | 1.13 | 0.74 0.77   551 |    OG63 | OB20611 |P 1 V Q R|
 2159951 | 17Am07 Jul 23 01:50:45 17 | 17AP99 Sr0205_3  | 23:19:55.2  32:36:25 2000 | 194 | r | 1.13 | 0.71 0.73   582 |    OG63 | OB20614 |P 1 V Q R|
 2159952 | 17Am07 Jul 23 01:54:19 17 | 17AP99 Sr0206_3  | 23:24:31.2  32:36:25 2000 | 169 | r | 1.13 | 0.68 0.71   502 |    OG63 | OB20617 |P 1 V Q R|
 2159953 | 17Am07 Jul 23 01:58:43 17 | 17AP99 Sr0207_3  | 23:29:07.2  32:36:25 2000 | 218 | r | 1.13 | 0.63 0.66   621 |    OG63 | OB20620 |P 1 V Q R|
 2159954 | 17Am07 Jul 23 02:01:08 17 | 17AP99 Sr0258_3  | 23:14:00.0  33:35:13 2000 | 100 | r | 1.10 | 0.88 0.91   274 |    OG81 | OB20773 |P 1 V Q R|
 2159955 | 17Am07 Jul 23 02:04:03 17 | 17AP99 Sr0259_3  | 23:18:38.4  33:35:13 2000 | 129 | r | 1.10 | 0.93 0.96   351 |    OG81 | OB20776 |P 3 O Q R|
 2159956 | 17Am07 Jul 23 02:07:49 17 | 17AP99 Sr0260_3  | 23:23:16.8  33:35:13 2000 | 180 | r | 1.11 | 0.81 0.84   490 |    OG81 | OB20779 |P 1 V Q R|
 2159957 | 17Am07 Jul 23 02:12:22 17 | 17AP99 Sr0261_3  | 23:27:55.2  33:35:13 2000 | 229 | r | 1.11 | 0.77 0.81   637 |    OG81 | OB20782 |P 1 V Q R|
 2159958 | 17Am07 Jul 23 02:16:51 17 | 17AP99 Sr0262_3  | 23:32:33.6  33:35:13 2000 | 223 | r | 1.11 | 0.79 0.83   620 |    OG81 | OB20785 |P 1 V Q R|
 2159959 | 17Am07 Jul 23 02:21:28 17 | 17AP99 Sr0263_3  | 23:37:12.0  33:35:13 2000 | 232 | r | 1.11 | 0.79 0.82   642 |    OG81 | OB20788 |P 1 V Q R|
 2159960 | 17Am07 Jul 23 02:24:58 17 | 17AP99 Sr0264_3  | 23:41:50.4  33:35:13 2000 | 164 | r | 1.11 | 0.73 0.76   446 |    OG81 | OB20791 |P 1 V Q R|
 2159961 | 17Am07 Jul 23 02:28:23 17 | 17AP99 Sr0025_2  | 23:37:07.2  30:19:58 2000 | 160 | r | 1.08 | 0.70 0.73   433 |     OG5 | OB20073 |P 1 V Q R|
 2159962 | 17Am07 Jul 23 02:31:30 17 | 17AP99 Sr0259_3  | 23:18:38.4  33:35:13 2000 | 131 | r | 1.07 | 0.65 0.68   339 |    OG81 | OB20776 |P 1 V Q R|
 2159963 | 17Am07 Jul 23 02:35:02 17 | 17AP99 Sr0086_3  | 23:16:45.6  30:38:49 2000 | 167 | r | 1.05 | 0.65 0.68   427 |    OG27 | OB20257 |P 1 V Q R|
 2159964 | 17Am07 Jul 23 02:38:20 17 | 17AP99 Sr0087_3  | 23:21:16.8  30:38:49 2000 | 152 | r | 1.05 | 0.67 0.71   399 |    OG27 | OB20260 |P 1 V Q R|
 2159965 | 17Am07 Jul 23 02:40:58 17 | 17AP99 Sr0088_3  | 23:25:48.0  30:38:49 2000 | 112 | r | 1.05 | 0.81 0.85   294 |    OG27 | OB20263 |P 1 V Q R|
 2159966 | 17Am07 Jul 23 02:43:59 17 | 17AP99 Sr0089_3  | 23:30:19.2  30:38:49 2000 | 136 | r | 1.05 | 0.74 0.77   359 |    OG27 | OB20266 |P 1 V Q R|
 2159967 | 17Am07 Jul 23 02:47:38 17 | 17AP99 Sr0090_3  | 23:34:50.4  30:38:49 2000 | 174 | r | 1.06 | 0.83 0.86   463 |    OG27 | OB20269 |P 1 V Q R|
 2159968 | 17Am07 Jul 23 02:51:47 17 | 17AP99 Sr0091_3  | 23:39:21.6  30:38:49 2000 | 203 | r | 1.06 | 0.80 0.83   525 |    OG27 | OB20272 |P 1 V Q R|
 2159969 | 17Am07 Jul 23 02:55:33 17 | 17AP99 Sr0092_3  | 23:43:52.8  30:38:49 2000 | 181 | r | 1.06 | 0.72 0.75   460 |    OG27 | OB20275 |P 1 V Q R|
 2159970 | 17Am07 Jul 23 02:59:53 17 | 17AP99 Sr0149_2  | 23:28:16.8  32:17:34 2000 | 160 | r | 1.04 | 0.73 0.77   390 |    OG47 | OB20445 |P 1 V Q R|
 2159971 | 17Am07 Jul 23 03:06:02 17 | 17AP99 Sr0151_2  | 23:37:24.0  32:17:34 2000 | 133 | r | 1.04 | 0.73 0.76   329 |    OG47 | OB20451 |P 1 V Q R|
 2159972 | 17Am07 Jul 23 03:09:02 17 | 17AP99 Sr0152_2  | 23:41:57.6  32:17:34 2000 | 134 | r | 1.05 | 0.69 0.72   323 |    OG47 | OB20454 |P 1 V Q R|
 2159973 | 17Am07 Jul 23 03:12:34 17 | 17AP99 Sr0153_2  | 23:46:31.2  32:17:34 2000 | 166 | r | 1.05 | 0.82 0.85   402 |    OG47 | OB20457 |P 1 V Q R|
 2159974 | 17Am07 Jul 23 03:15:33 17 | 17AP99 Sr0154_2  | 23:51:04.8  32:17:34 2000 | 134 | r | 1.05 | 0.75 0.78   324 |    OG47 | OB20460 |P 1 V Q R|
 2159975 | 17Am07 Jul 23 03:18:39 17 | 17AP99 Sr0155_2  | 23:55:38.4  32:17:34 2000 | 138 | r | 1.05 | 0.79 0.82   330 |    OG47 | OB20463 |P 1 V Q R|
 2159976 | 17Am07 Jul 23 03:22:03 17 | 17AP99 Sr0308_2  | 23:24:12.0  35:13:58 2000 | 157 | r | 1.04 | 0.91 0.94   366 |    OG95 | OB20922 |P 1 V Q R|
 2159977 | 17Am07 Jul 23 03:25:05 17 | 17AP99 Sr0309_2  | 23:28:55.2  35:13:58 2000 | 137 | r | 1.04 | 0.73 0.76   316 |    OG95 | OB20925 |P 1 V Q R|
 2159978 | 17Am07 Jul 23 03:28:17 17 | 17AP99 Sr0310_2  | 23:33:38.4  35:13:58 2000 | 146 | r | 1.04 | 0.79 0.83   332 |    OG95 | OB20928 |P 1 V Q R|
 2159979 | 17Am07 Jul 23 03:31:12 17 | 17AP99 Sr0311_2  | 23:38:21.6  35:13:58 2000 | 129 | r | 1.04 | 0.84 0.86   292 |    OG95 | OB20931 |P 1 V Q R|
 2159980 | 17Am07 Jul 23 03:34:12 17 | 17AP99 Sr0312_2  | 23:43:04.8  35:13:58 2000 | 134 | r | 1.04 | 1.05 1.08   305 |    OG95 | OB20934 |P 3 O Q R|
 2159981 | 17Am07 Jul 23 03:37:43 17 | 17AP99 Sr0313_2  | 23:47:48.0  35:13:58 2000 | 164 | r | 1.04 | 0.91 0.94   374 |    OG95 | OB20937 |P 1 V Q R|
 2159982 | 17Am07 Jul 23 03:41:17 17 | 17AP99 Sr0314_2  | 23:52:31.2  35:13:58 2000 | 168 | r | 1.04 | 0.84 0.86   382 |    OG95 | OB20940 |P 1 V Q R|
 2159983 | 17Am07 Jul 23 03:44:27 17 | 17AP99 Sr0208_2  | 23:37:04.8  33:16:22 2000 | 145 | r | 1.03 | 0.79 0.83   325 |    OG65 | OB20622 |P 1 V Q R|
 2159984 | 17Am07 Jul 23 03:47:45 17 | 17AP99 Sr0209_2  | 23:41:40.8  33:16:22 2000 | 152 | r | 1.03 | 0.80 0.82   333 |    OG65 | OB20625 |P 1 V Q R|
 2159985 | 17Am07 Jul 23 03:50:53 17 | 17AP99 Sr0210_2  | 23:46:16.8  33:16:22 2000 | 141 | r | 1.03 | 0.88 0.91   315 |    OG65 | OB20628 |P 1 V Q R|
 2159986 | 17Am07 Jul 23 03:53:50 17 | 17AP99 Sr0211_2  | 23:50:52.8  33:16:22 2000 | 131 | r | 1.03 | 0.72 0.75   293 |    OG65 | OB20631 |P 1 V Q R|
 2159987 | 17Am07 Jul 23 03:56:56 17 | 17AP99 Sr0212_2  | 23:55:28.8  33:16:22 2000 | 141 | r | 1.03 | 0.78 0.81   317 |    OG65 | OB20634 |P 1 V Q R|
 2159988 | 17Am07 Jul 23 04:00:01 17 | 17AP99 Sr0213_2  |  0:00:04.8  33:16:22 2000 | 140 | r | 1.03 | 0.81 0.84   319 |    OG65 | OB20637 |P 1 V Q R|
 2159989 | 17Am07 Jul 23 04:03:19 17 | 17AP99 Sr0214_2  |  0:04:40.8  33:16:22 2000 | 153 | r | 1.03 | 0.89 0.92   344 |    OG65 | OB20640 |P 1 V Q R|
 2159990 | 17Am07 Jul 23 04:06:31 17 | 17AP99 Sr0312_2  | 23:43:04.8  35:13:58 2000 | 139 | r | 1.04 | 0.84 0.87   310 |    OG95 | OB20934 |P 1 V Q R|
 2159991 | 17Am07 Jul 23 04:09:43 17 | 17AP99 Sr0028_1  | 23:48:57.6  30:00:00 2000 | 143 | r | 1.02 | 0.65 0.67   316 |     OG7 | OB20081 |P 1 V Q R|
 2159992 | 17Am07 Jul 23 04:12:44 17 | 17AP99 Sr0029_1  | 23:53:26.4  30:00:00 2000 | 136 | r | 1.02 | 0.55 0.58   296 |     OG7 | OB20084 |P 1 V Q R|
 2159993 | 17Am07 Jul 23 04:15:27 17 | 17AP99 Sr0030_1  | 23:57:55.2  30:00:00 2000 | 118 | r | 1.02 | 0.53 0.56   255 |     OG7 | OB20087 |P 1 V Q R|
 2159994 | 17Am07 Jul 23 04:18:04 17 | 17AP99 Sr0031_1  |  0:02:24.0  30:00:00 2000 | 111 | r | 1.02 | 0.63 0.67   239 |     OG7 | OB20090 |P 1 V Q R|
 2159995 | 17Am07 Jul 23 04:20:39 17 | 17AP99 Sr0032_1  |  0:06:52.8  30:00:00 2000 | 110 | r | 1.02 | 0.67 0.72   239 |     OG7 | OB20093 |P 1 V Q R|
 2159996 | 17Am07 Jul 23 04:23:18 17 | 17AP99 Sr0033_1  |  0:11:21.6  30:00:00 2000 | 114 | r | 1.02 | 0.77 0.81   250 |     OG7 | OB20096 |P 1 V Q R|
 2159997 | 17Am07 Jul 23 04:26:01 17 | 17AP99 Sr0034_1  |  0:15:50.4  30:00:00 2000 | 118 | r | 1.02 | 0.76 0.80   260 |     OG7 | OB20099 |P 1 V Q R|
 2160086 | 17Am07 Jul 23 20:54:02 17 | 17AP30 Nr4293_3  | 14:25:43.2  61:01:37 2000 |  30 | r | 1.48 | 0.83 0.83    80 |   OG963 | OB12879 |P 1 O Q R|
 2160087 | 17Am07 Jul 23 20:55:18 17 | 17AP30 Nr4293_3  | 14:25:43.2  61:01:37 2000 |  30 | r | 1.48 | 0.74 0.75    80 |   OG963 | OB12879 |P 1 O Q R|
 2160088 | 17Am07 Jul 23 20:57:43 17 | 17AP30 Nr4293_3  | 14:25:43.2  61:01:37 2000 | 100 | r | 1.48 | 0.71 0.72   266 |   OG963 | OB12879 |P 1 V Q R|
 2160089 | 17Am07 Jul 23 21:03:28 17 | 17AP30 Nr4294_3  | 14:33:48.0  61:01:37 2000 | 299 | r | 1.47 | 0.67 0.68   765 |   OG963 | OB12882 |P 1 V Q R|
 2160090 | 17Am07 Jul 23 21:07:21 17 | 17AP30 Nr4295_3  | 14:41:52.8  61:01:37 2000 | 188 | r | 1.46 | 0.66 0.68   480 |   OG963 | OB12885 |P 1 V Q R|
 2160091 | 17Am07 Jul 23 21:11:41 17 | 17AP30 Nr4296_3  | 14:49:57.6  61:01:37 2000 | 211 | r | 1.46 | 0.63 0.64   528 |   OG963 | OB12888 |P 1 V Q R|
 2160092 | 17Am07 Jul 23 21:15:09 17 | 17AP30 Nr4297_3  | 14:58:02.4  61:01:37 2000 | 163 | r | 1.45 | 0.65 0.66   396 |   OG963 | OB12891 |P 1 V Q R|
 2160093 | 17Am07 Jul 23 21:17:58 17 | 17AP30 Nr4298_3  | 15:06:07.2  61:01:37 2000 | 123 | r | 1.44 | 0.61 0.63   287 |   OG963 | OB12894 |P 1 V Q R|
 2160094 | 17Am07 Jul 23 21:21:29 17 | 17AP30 Nr4299_3  | 15:14:12.0  61:01:37 2000 | 165 | r | 1.43 | 0.63 0.64   377 |   OG963 | OB12897 |P 1 V Q R|
 2160095 | 17Am07 Jul 23 21:24:52 17 | 17AP30 Nr1468_1  | 16:19:21.6  38:49:12 2000 | 121 | r | 1.08 | 0.58 0.61   237 |   OG346 |  OB4402 |P 1 V Q R|
 2160096 | 17Am07 Jul 23 21:27:42 17 | 17AP30 Nr1469_1  | 16:24:19.2  38:49:12 2000 | 121 | r | 1.07 | 0.52 0.56   235 |   OG346 |  OB4405 |P 1 V Q R|
 2160097 | 17Am07 Jul 23 21:30:16 17 | 17AP30 Nr0872_2  | 15:43:04.8  35:13:58 2000 | 106 | r | 1.11 | 0.50 0.53   220 |   OG209 |  OB2615 |P 1 V Q R|
 2160098 | 17Am07 Jul 23 21:32:58 17 | 17AP30 Nr0873_2  | 15:47:48.0  35:13:58 2000 | 116 | r | 1.10 | 0.48 0.51   240 |   OG209 |  OB2618 |P 1 V Q R|
 2160099 | 17Am07 Jul 23 21:35:30 17 | 17AP30 Nr0874_2  | 15:52:31.2  35:13:58 2000 | 107 | r | 1.10 | 0.49 0.52   224 |   OG209 |  OB2621 |P 1 V Q R|
 2160100 | 17Am07 Jul 23 21:38:11 17 | 17AP30 Nr0875_2  | 15:57:14.4  35:13:58 2000 | 116 | r | 1.10 | 0.53 0.56   243 |   OG209 |  OB2624 |P 1 V Q R|
 2160101 | 17Am07 Jul 23 21:40:46 17 | 17AP30 Nr0876_2  | 16:01:57.6  35:13:58 2000 | 109 | r | 1.09 | 0.50 0.53   229 |   OG209 |  OB2627 |P 1 V Q R|
 2160102 | 17Am07 Jul 23 21:43:24 17 | 17AP30 Nr0877_2  | 16:06:40.8  35:13:58 2000 | 113 | r | 1.09 | 0.48 0.52   237 |   OG209 |  OB2630 |P 1 V Q R|
 2160103 | 17Am07 Jul 23 21:45:55 17 | 17AP30 Nr0878_2  | 16:11:24.0  35:13:58 2000 | 106 | r | 1.09 | 0.51 0.54   226 |   OG209 |  OB2633 |P 1 V Q R|
 2160104 | 17Am07 Jul 23 21:48:48 17 | 17AP30 Nr1021_2  | 15:42:50.4  36:12:46 2000 | 122 | r | 1.15 | 0.54 0.56   263 |   OG245 |  OB3062 |P 1 V Q R|
 2160105 | 17Am07 Jul 23 21:51:20 17 | 17AP30 Nr1022_2  | 15:47:36.0  36:12:46 2000 | 107 | r | 1.14 | 0.53 0.55   235 |   OG245 |  OB3065 |P 1 V Q R|
 2160106 | 17Am07 Jul 23 21:54:06 17 | 17AP30 Nr1023_2  | 15:52:21.6  36:12:46 2000 | 119 | r | 1.14 | 0.55 0.58   261 |   OG245 |  OB3068 |P 1 V Q R|
 2160107 | 17Am07 Jul 23 21:56:44 17 | 17AP30 Nr1024_2  | 15:57:07.2  36:12:46 2000 | 113 | r | 1.13 | 0.56 0.59   254 |   OG245 |  OB3071 |P 1 V Q R|
 2160108 | 17Am07 Jul 23 21:59:33 17 | 17AP30 Nr1025_2  | 16:01:52.8  36:12:46 2000 | 124 | r | 1.13 | 0.53 0.56   268 |   OG245 |  OB3074 |P 1 V Q R|
 2160109 | 17Am07 Jul 23 22:02:18 17 | 17AP30 Nr1026_2  | 16:06:38.4  36:12:46 2000 | 120 | r | 1.13 | 0.56 0.58   268 |   OG245 |  OB3077 |P 1 V Q R|
 2160110 | 17Am07 Jul 23 22:05:11 17 | 17AP30 Nr1027_2  | 16:11:24.0  36:12:46 2000 | 128 | r | 1.12 | 0.57 0.59   285 |   OG245 |  OB3080 |P 1 V Q R|
 2160111 | 17Am07 Jul 23 22:07:59 17 | 17AP30 Nr1169_2  | 15:47:50.4  37:11:34 2000 | 122 | r | 1.18 | 0.58 0.59   276 |   OG281 |  OB3506 |P 1 V Q R|
 2160112 | 17Am07 Jul 23 22:11:13 17 | 17AP30 Nr1170_2  | 15:52:40.8  37:11:34 2000 | 140 | r | 1.18 | 0.58 0.59   311 |   OG281 |  OB3509 |P 1 V Q R|
 2160113 | 17Am07 Jul 23 22:13:57 17 | 17AP30 Nr1171_2  | 15:57:31.2  37:11:34 2000 | 118 | r | 1.17 | 0.56 0.57   264 |   OG281 |  OB3512 |P 1 V Q R|
 2160114 | 17Am07 Jul 23 22:16:52 17 | 17AP30 Nr1172_2  | 16:02:21.6  37:11:34 2000 | 128 | r | 1.17 | 0.57 0.60   275 |   OG281 |  OB3515 |P 1 V Q R|
 2160115 | 17Am07 Jul 23 22:19:35 17 | 17AP30 Nr1173_2  | 16:07:12.0  37:11:34 2000 | 117 | r | 1.16 | 0.59 0.61   256 |   OG281 |  OB3518 |P 1 V Q R|
 2160116 | 17Am07 Jul 23 22:22:29 17 | 17AP30 Nr1174_2  | 16:12:02.4  37:11:34 2000 | 129 | r | 1.16 | 0.57 0.59   276 |   OG281 |  OB3521 |P 1 V Q R|
 2160117 | 17Am07 Jul 23 22:25:11 17 | 17AP30 Nr1175_2  | 16:16:52.8  37:11:34 2000 | 117 | r | 1.16 | 0.60 0.62   252 |   OG281 |  OB3524 |P 1 V Q R|
 2160118 | 17Am07 Jul 23 22:28:20 17 | 17AP30 Nr1317_2  | 15:52:19.2  38:10:22 2000 | 140 | r | 1.23 | 0.56 0.58   310 |   OG314 |  OB3950 |P 1 V Q R|
 2160119 | 17Am07 Jul 23 22:31:04 17 | 17AP30 Nr1318_2  | 15:57:12.0  38:10:22 2000 | 119 | r | 1.22 | 0.62 0.64   265 |   OG314 |  OB3953 |P 1 V Q R|
 2160120 | 17Am07 Jul 23 22:34:04 17 | 17AP30 Nr1319_2  | 16:02:04.8  38:10:22 2000 | 135 | r | 1.22 | 0.59 0.61   298 |   OG314 |  OB3956 |P 1 V Q R|
 2160121 | 17Am07 Jul 23 22:36:53 17 | 17AP30 Nr1320_2  | 16:06:57.6  38:10:22 2000 | 124 | r | 1.21 | 0.58 0.59   276 |   OG314 |  OB3959 |P 1 V Q R|
 2160122 | 17Am07 Jul 23 22:39:45 17 | 17AP30 Nr1321_2  | 16:11:50.4  38:10:22 2000 | 126 | r | 1.21 | 0.59 0.60   280 |   OG314 |  OB3962 |P 1 V Q R|
 2160123 | 17Am07 Jul 23 22:42:25 17 | 17AP30 Nr1322_2  | 16:16:43.2  38:10:22 2000 | 112 | r | 1.20 | 0.68 0.69   247 |   OG314 |  OB3965 |P 1 V Q R|
 2160124 | 17Am07 Jul 23 22:45:06 17 | 17AP30 Nr1323_2  | 16:21:36.0  38:10:22 2000 | 116 | r | 1.20 | 0.67 0.69   254 |   OG314 |  OB3968 |P 1 V Q R|
 2160125 | 17Am07 Jul 23 22:48:25 17 | 17AP30 Nr0135_2  | 17:01:55.2  30:19:58 2000 | 147 | r | 1.09 | 0.61 0.63   314 |  OG1232 |   OB404 |P 1 V Q R|
 2160126 | 17Am07 Jul 23 22:51:21 17 | 17AP30 Nr0136_2  | 17:06:24.0  30:19:58 2000 | 131 | r | 1.08 | 0.58 0.61   280 |  OG1232 |   OB407 |P 1 V Q R|
 2160127 | 17Am07 Jul 23 22:53:55 17 | 17AP30 Nr0137_2  | 17:10:52.8  30:19:58 2000 | 109 | r | 1.08 | 0.64 0.67   234 |  OG1232 |   OB410 |P 1 V Q R|
 2160128 | 17Am07 Jul 23 22:56:29 17 | 17AP30 Nr0138_2  | 17:15:21.6  30:19:58 2000 | 109 | r | 1.08 | 0.59 0.62   233 |  OG1232 |   OB413 |P 1 V Q R|
 2160129 | 17Am07 Jul 23 22:59:13 17 | 17AP30 Nr0139_2  | 17:19:50.4  30:19:58 2000 | 119 | r | 1.08 | 0.61 0.64   261 |  OG1232 |   OB416 |P 1 V Q R|
 2160130 | 17Am07 Jul 23 23:02:18 17 | 17AP30 Nr0287_2  | 17:02:48.0  31:18:46 2000 | 140 | r | 1.11 | 0.77 0.79   310 |  OG1232 |   OB860 |P 1 V Q R|
 2160131 | 17Am07 Jul 23 23:05:08 17 | 17AP30 Nr0288_2  | 17:07:19.2  31:18:46 2000 | 121 | r | 1.11 | 0.61 0.63   269 |  OG1232 |   OB863 |P 1 V Q R|
 2160132 | 17Am07 Jul 23 23:08:05 17 | 17AP30 Nr0289_2  | 17:11:50.4  31:18:46 2000 | 132 | r | 1.11 | 0.58 0.60   291 |  OG1232 |   OB866 |P 1 V Q R|
 2160133 | 17Am07 Jul 23 23:11:05 17 | 17AP30 Nr0290_2  | 17:16:21.6  31:18:46 2000 | 134 | r | 1.10 | 0.58 0.61   296 |  OG1232 |   OB869 |P 1 V Q R|
 2160134 | 17Am07 Jul 23 23:14:01 17 | 17AP30 Nr0291_2  | 17:20:52.8  31:18:46 2000 | 120 | r | 1.10 | 0.53 0.55   264 |  OG1232 |   OB872 |P 1 V Q R|
 2160135 | 17Am07 Jul 23 23:16:50 17 | 17AP30 Nr1183_3  | 16:52:04.8  36:31:37 2000 | 118 | r | 1.19 | 0.60 0.62   276 |  OG1239 |  OB3549 |P 1 V Q R|
 2160136 | 17Am07 Jul 23 23:19:25 17 | 17AP30 Nr1331_3  | 16:57:07.2  37:30:25 2000 | 109 | r | 1.19 | 0.61 0.63   252 |  OG1239 |  OB3993 |P 1 V Q R|
 2160137 | 17Am07 Jul 23 23:22:22 17 | 17AP30 Nr1332_3  | 17:02:00.0  37:30:25 2000 | 132 | r | 1.18 | 0.62 0.65   309 |  OG1239 |  OB3996 |P 1 V Q R|
 2160138 | 17Am07 Jul 23 23:25:29 17 | 17AP30 Nr1333_3  | 17:06:52.8  37:30:25 2000 | 141 | r | 1.18 | 0.65 0.67   335 |  OG1239 |  OB3999 |P 1 V Q R|
 2160139 | 17Am07 Jul 23 23:28:23 17 | 17AP30 Nr1334_3  | 17:11:45.6  37:30:25 2000 | 129 | r | 1.18 | 0.71 0.74   307 |  OG1239 |  OB4002 |P 1 V Q R|
 2160140 | 17Am07 Jul 23 23:31:41 17 | 17AP30 Nr1335_3  | 17:16:38.4  37:30:25 2000 | 152 | r | 1.17 | 0.65 0.67   369 |  OG1239 |  OB4005 |P 1 V Q R|
 2160141 | 17Am07 Jul 23 23:34:43 17 | 17AP30 Nr0439_2  | 17:08:07.2  32:17:34 2000 | 137 | r | 1.18 | 0.62 0.63   337 |  OG1235 |  OB1316 |P 1 V Q R|
 2160142 | 17Am07 Jul 23 23:37:58 17 | 17AP30 Nr0440_2  | 17:12:40.8  32:17:34 2000 | 149 | r | 1.17 | 0.67 0.69   361 |  OG1235 |  OB1319 |P 1 V Q R|
 2160143 | 17Am07 Jul 23 23:41:20 17 | 17AP30 Nr0441_2  | 17:17:14.4  32:17:34 2000 | 157 | r | 1.17 | 0.73 0.74   378 |  OG1235 |  OB1322 |P 1 V Q R|
 2160144 | 17Am07 Jul 23 23:44:30 17 | 17AP30 Nr0590_2  | 17:09:28.8  33:16:22 2000 | 143 | r | 1.20 | 0.68 0.71   343 |  OG1235 |  OB1769 |P 1 V Q R|
 2160145 | 17Am07 Jul 23 23:47:36 17 | 17AP30 Nr0591_2  | 17:14:04.8  33:16:22 2000 | 140 | r | 1.20 | 0.68 0.71   334 |  OG1235 |  OB1772 |P 1 V Q R|
 2160146 | 17Am07 Jul 23 23:50:41 17 | 17AP30 Nr0592_2  | 17:18:40.8  33:16:22 2000 | 140 | r | 1.19 | 0.70 0.72   336 |  OG1235 |  OB1775 |P 1 V Q R|
 2160147 | 17Am07 Jul 23 23:54:06 17 | 17AP30 Nr0742_2  | 17:15:26.4  34:15:10 2000 | 159 | r | 1.22 | 0.72 0.74   386 |  OG1235 |  OB2225 |P 1 V Q R|
 2160148 | 17Am07 Jul 23 23:57:14 17 | 17AP30 Nr0743_2  | 17:20:04.8  34:15:10 2000 | 143 | r | 1.21 | 0.70 0.73   345 |  OG1235 |  OB2228 |P 1 V Q R|
 2160149 | 17Am07 Jul 24 00:00:24 17 | 17AP30 Nr1477_2  | 17:05:48.0  39:09:10 2000 | 143 | r | 1.29 | 0.72 0.74   360 |  OG1241 |  OB4430 |P 1 V Q R|
 2160150 | 17Am07 Jul 24 00:03:32 17 | 17AP30 Nr1478_2  | 17:10:45.6  39:09:10 2000 | 143 | r | 1.28 | 0.78 0.81   353 |  OG1241 |  OB4433 |P 1 V Q R|
 2160151 | 17Am07 Jul 24 00:06:55 17 | 17AP30 Nr1479_2  | 17:15:43.2  39:09:10 2000 | 157 | r | 1.28 | 0.75 0.77   384 |  OG1241 |  OB4436 |P 1 V Q R|
 2160152 | 17Am07 Jul 24 00:10:08 17 | 17AP30 Nr1480_2  | 17:20:40.8  39:09:10 2000 | 148 | r | 1.27 | 0.70 0.72   363 |  OG1241 |  OB4439 |P 1 V Q R|
 2160153 | 17Am07 Jul 24 00:13:17 17 | 17AP30 Nr1621_2  | 17:10:48.0  40:07:58 2000 | 144 | r | 1.32 | 0.60 0.61   358 |  OG1241 |  OB4862 |P 1 V Q R|
 2160154 | 17Am07 Jul 24 00:17:12 17 | 17AP30 Nr1622_2  | 17:15:50.4  40:07:58 2000 | 155 | r | 1.32 | 0.74 0.76   382 |  OG1241 |  OB4865 |P 1 V Q R|
 2160155 | 17Am07 Jul 24 00:20:11 17 | 17AP30 Nr1623_2  | 17:20:52.8  40:07:58 2000 | 134 | r | 1.31 | 0.78 0.80   335 |  OG1241 |  OB4868 |P 1 V Q R|
 2160156 | 17Am07 Jul 24 00:23:25 17 | 17AP30 Nr2041_2  | 17:10:14.4  43:04:22 2000 | 146 | r | 1.38 | 0.79 0.81   365 |  OG1244 |  OB6122 |P 1 V Q R|
 2160157 | 17Am07 Jul 24 00:26:47 17 | 17AP30 Nr2043_2  | 17:20:48.0  43:04:22 2000 | 149 | r | 1.35 | 0.75 0.77   369 |  OG1244 |  OB6128 |P 1 V Q R|
 2160158 | 17Am07 Jul 24 00:30:20 17 | 17AP30 Nr3214_2  | 17:19:12.0  51:53:34 2000 | 162 | r | 1.46 | 0.90 0.92   425 |  OG1256 |  OB9641 |P 3 O Q R|
 2160159 | 17Am07 Jul 24 00:33:53 17 | 17AP30 Nr3448_2  | 16:49:45.6  53:51:10 2000 | 160 | r | 1.63 | 0.86 0.89   454 |  OG1256 | OB10343 |P 3 O Q R|
 2160160 | 17Am07 Jul 24 00:37:39 17 | 17AP30 Nr3449_2  | 16:56:16.8  53:51:10 2000 | 181 | r | 1.61 | 0.78 0.80   503 |  OG1256 | OB10346 |P 3 O Q R|
 2160200 | 17Am07 Jul 24 02:21:04 17 | 17AP99 Sr0093_1  | 23:50:02.4  30:58:48 2000 |  30 | r | 1.11 | 0.84 0.86    72 |    OG28 | OB20276 |P 1 O Q R|
 2160201 | 17Am07 Jul 24 02:22:19 17 | 17AP99 Sr0093_1  | 23:50:02.4  30:58:48 2000 |  30 | r | 1.11 | 0.84 0.86    70 |    OG28 | OB20276 |P 1 O Q R|
 2160202 | 17Am07 Jul 24 02:28:05 17 | 17AP99 Sr0093_1  | 23:50:02.4  30:58:48 2000 | 300 | r | 1.10 | 0.71 0.74   688 |    OG28 | OB20276 |P 2 V Q R|
