 2074851 | 16Bm07 Jan 29 01:59:01 17 | 17AP30 Nr0066_2  | 11:52:48.0  30:19:58 2000 | 154 | r | 1.11 | 0.68 0.69   388 |     OG8 |   OB197 |P 1 V Q R|
 2074852 | 16Bm07 Jan 29 02:02:12 17 | 17AP30 Nr0067_2  | 11:57:16.8  30:19:58 2000 | 145 | r | 1.11 | 0.74 0.77   359 |     OG8 |   OB200 |P 1 V Q R|
 2074853 | 16Bm07 Jan 29 02:05:02 17 | 17AP30 Nr0068_2  | 12:01:45.6  30:19:58 2000 | 125 | r | 1.11 | 0.77 0.79   303 |     OG8 |   OB203 |P 1 V Q R|
 2074854 | 16Bm07 Jan 29 02:08:39 17 | 17AP30 Nr0069_2  | 12:06:14.4  30:19:58 2000 | 172 | r | 1.12 | 0.85 0.86   420 |     OG8 |   OB206 |P 1 V Q R|
 2074855 | 16Bm07 Jan 29 02:11:34 17 | 17AP30 Nr0070_2  | 12:10:43.2  30:19:58 2000 | 126 | r | 1.12 | 0.77 0.79   301 |     OG8 |   OB209 |P 1 V Q R|
 2074856 | 16Bm07 Jan 29 02:14:01 17 | 17AP30 Nr0071_2  | 12:15:12.0  30:19:58 2000 | 100 | r | 1.12 | 0.82 0.83   237 |     OG8 |   OB212 |P 1 V Q R|
 2074857 | 16Bm07 Jan 29 02:15:16 17 | 17AP30 Nr0072_2  | 12:19:40.8  30:19:58 2000 |  30 | r | 1.13 | 0.64 0.66    72 |    OG11 |   OB215 |P 1 O Q R|
 2074858 | 16Bm07 Jan 29 02:16:31 17 | 17AP30 Nr0072_2  | 12:19:40.8  30:19:58 2000 |  30 | r | 1.12 | 0.80 0.81    71 |    OG11 |   OB215 |P 1 O Q R|
 2074859 | 16Bm07 Jan 29 02:18:56 17 | 17AP30 Nr0072_2  | 12:19:40.8  30:19:58 2000 | 100 | r | 1.12 | 0.70 0.71   236 |    OG11 |   OB215 |P 1 V Q R|
 2074860 | 16Bm07 Jan 29 02:21:52 17 | 17AP30 Nr0073_2  | 12:24:09.6  30:19:58 2000 | 132 | r | 1.13 | 0.67 0.69   307 |    OG11 |   OB218 |P 1 V Q R|
